Ammospermophilus nelsoni,{tail length},87
Ammospermophilus sp.,{body length},5
Ammospermophilus sp.,{body mass},5
Ammospermophilus sp.,{ear length to notch},5
Ammospermophilus sp.,{tail length},5
Ammotragus lervia,{body length},4
Ammotragus lervia,{ear length to notch},3
Ammotragus lervia,{tail length},4
Andalgalomys olrogi,{body length},10
Andalgalomys olrogi,{body mass},10
Andalgalomys olrogi,{ear length to notch},10
Andalgalomys olrogi,{tail length},10
Andalgalomys pearsoni,{body length},4
Andalgalomys pearsoni,{body mass},19
Andalgalomys pearsoni,{ear length to notch},17
Andalgalomys pearsoni,{tail length},4
Andalgalomys roigi,{body length},9
Andalgalomys roigi,{body mass},9
Andalgalomys roigi,{ear length to notch},9
Andalgalomys roigi,{tail length},9
Andinomys edax,{body length},30
Andinomys edax,{body mass},29
Andinomys edax,{ear length to notch},29
Andinomys edax,{tail length},30
Anomalomys minutus,{body length},1
Anomalurus derbianus,{body length},1
Anomalurus derbianus,{body mass},9
Anomalurus derbianus,{ear length to notch},1
Anomalurus derbianus,{tail length},1
Anoura,{body length},5
Anoura,{body mass},5
Anoura,{ear length to notch},5
Anoura caudifer,{body length},9
Anoura caudifer,{body mass},10
Anoura caudifer,{ear length to notch},9
Anoura caudifer,{tail length},5
Anoura cultrata,{body length},3
Anoura cultrata,{body mass},2
Anoura cultrata,{ear length to notch},3
Anoura geoffroyi,{body length},100
Anoura geoffroyi,{body mass},53
Anoura geoffroyi,{ear length to notch},134
Anoura geoffroyi,{tail length},32
Anourosorex squamipes,{body length},8
Anourosorex squamipes,{body mass},9
Anourosorex squamipes,{ear length to notch},1
Anourosorex squamipes,{tail length},8
Antechinomys laniger,{body length},5
Antechinomys laniger,{body mass},1
Antechinomys laniger,{tail length},5
Antechinus bellus,{body length},1
Antechinus bellus,{tail length},1
Antechinus flavipes,{body length},20
Antechinus flavipes,{body mass},2
Antechinus flavipes,{ear length to notch},5
Antechinus flavipes,{tail length},20
Antechinus minimus,{body length},5
